Species,Migration,Mass
Phylloscopus_trochilus,L,9
Turdus_iliacus,S,60
Fringilla_coelebs,S,22
Turdus_philomelos,S,69
Carduelis_spinus,S,13
Parus_major,R,19
Anthus_trivialis,L,23
Erithacus_rubecula,S,16
Cuculus_canorus,L,112
Muscicapa_striata,L,16
Ficedula_hypoleuca,L,13
Turdus_pilaris,S,106
Loxia_curvirostra,R,41
Columba_palumbus,S,501
Sylvia_borin,L,20
Corvus_corone,R,525
Dendrocopos_major,R,90
Emberiza_citrinella,R,30
Turdus_merula,S,101
Sylvia_curruca,L,12
Regulus_regulus,R,6
Prunella_modularis,S,19
Phoenicurus_phoenicurus,L,15
Parus_caeruleus,R,11
Parus_montanus,R,11
Motacilla_alba,S,20
Carduelis_chloris,R,29
Phylloscopus_collybita,L,8
Tringa_ochropus,L,80
Parus_cristatus,R,12
Sylvia_communis,L,15
Grus_grus,S,4115
Larus_canus,S,387
Pica_pica,R,235
Phylloscopus_sibilatrix,L,10
Turdus_viscivorus,S,115
Hirundo_rustica,L,19
Sylvia_atricapilla,L,20
Tetrao_tetrix,R,1088
Pyrrhula_pyrrhula,R,29
Dryocopus_martius,R,380
Certhia_familiaris,R,9
Alauda_arvensis,S,37
Corvus_corax,R,1195
Saxicola_rubetra,L,17
Garrulus_glandarius,R,160
Numenius_arquata,S,725
Carpodacus_erythrinus,L,23
Gallinago_gallinago,S,107
Corvus_monedula,R,225
